model,auc_mean,auc_std,brier_mean,brier_std,recall_mean,recall_std,weight
XGBoost,0.7946,0.0072,0.1099,0.0006,0.3475,0.0265,0.1582
Ensemble,0.7832,0.004,0.1096,0.0008,0.3333,0.01,
HistGradientBoosting,0.7794,0.0127,0.1138,0.0015,0.3121,0.01,0.1501
CatBoost,0.7784,0.0023,0.1138,0.0021,0.3404,0.0174,0.1496
LightGBM,0.7696,0.0089,0.1145,0.0031,0.3617,0.0174,0.1448
GradientBoosting,0.7597,0.0057,0.1191,0.0026,0.3688,0.01,0.1395
ExtraTrees,0.7452,0.0036,0.1271,0.001,0.2057,0.01,0.1317
RandomForest,0.7348,0.0063,0.1403,0.0001,0.3475,0.0201,0.1261
